iter	Passed	Remaining
401	16874	25101
402	16911	25053
403	16950	25006
404	16994	24967
405	17036	24926
406	17079	24884
407	17121	24843
408	17163	24800
409	17205	24759
410	17249	24719
411	17287	24671
412	17346	24654
413	17401	24630
414	17450	24598
415	17512	24584
416	17552	24540
417	17592	24494
418	17634	24452
419	17677	24411
420	17718	24367
421	17760	24326
422	17801	24281
423	17843	24240
424	17892	24207
425	17928	24157
426	17966	24109
427	18003	24061
428	18045	24018
429	18087	23976
430	18128	23932
431	18169	23889
432	18210	23846
433	18251	23802
434	18293	23760
435	18336	23719
436	18374	23672
437	18410	23622
438	18449	23576
439	18485	23527
440	18525	23481
441	18568	23441
442	18631	23426
443	18669	23378
444	18706	23330
445	18743	23281
446	18785	23239
447	18820	23189
448	18856	23139
449	18892	23090
450	18926	23039
451	18960	22987
452	18993	22935
453	19029	22886
454	19064	22835
455	19101	22787
456	19134	22735
457	19176	22693
458	19228	22663
459	19272	22624
460	19316	22584
461	19375	22563
462	19421	22525
463	19457	22476
464	19498	22434
465	19538	22389
466	19581	22348
467	19616	22299
468	19652	22250
469	19685	22198
470	19725	22154
471	19763	22108
472	19802	22063
473	19836	22012
474	19882	21975
475	19927	21936
476	19964	21890
477	19995	21836
478	20032	21788
479	20070	21742
480	20114	21703
481	20162	21668
482	20202	21624
483	20240	21578
484	20275	21529
485	20312	21482
486	20350	21436
487	20388	21390
488	20424	21343
489	20461	21296
490	20496	21248
491	20530	21198
492	20566	21150
493	20603	21103
494	20636	21053
495	20676	21010
496	20712	20962
497	20752	20919
498	20789	20873
499	20828	20828
500	20864	20781
501	20902	20735
502	20939	20690
503	20971	20638
504	21007	20591
505	21045	20546
506	21079	20497
507	21114	20449
508	21150	20402
509	21186	20355
510	21221	20308
511	21258	20261
512	21294	20215
513	21332	20170
514	21368	20124
515	21403	20076
516	21441	20031
517	21478	19986
518	21521	19946
519	21566	19907
520	21606	19865
521	21665	19839
522	21710	19801
523	21754	19761
524	21808	19731
525	21845	19685
526	21880	19638
527	21920	19595
528	21958	19550
529	22006	19515
530	22044	19470
531	22080	19423
532	22116	19377
533	22151	19331
534	22187	19284
535	22222	19237
536	22263	19195
537	22300	19150
538	22337	19105
539	22375	19060
540	22413	19016
541	22450	18971
542	22485	18924
543	22522	18878
544	22558	18833
545	22599	18791
546	22638	18748
547	22676	18703
548	22714	18659
549	22753	18616
550	22792	18573
551	22830	18529
552	22865	18482
553	22901	18437
554	22937	18391
555	22974	18346
556	23011	18301
557	23055	18262
558	23092	18218
559	23128	18172
560	23169	18130
561	23204	18084
562	23240	18039
563	23279	17996
564	23317	17952
565	23357	17910
566	23396	17867
567	23438	17826
568	23479	17785
569	23528	17749
570	23571	17709
571	23612	17668
572	23654	17627
573	23695	17586
574	23740	17547
575	23780	17505
576	23823	17465
577	23867	17425
578	23917	17391
579	23964	17353
580	24008	17313
581	24051	17274
582	24098	17236
583	24154	17206
584	24219	17181
585	24267	17144
586	24319	17110
587	24357	17066
588	24404	17029
589	24450	16991
590	24494	16951
591	24539	16912
592	24598	16882
593	24642	16842
594	24693	16808
595	24760	16783
596	24806	16745
597	24848	16704
598	24893	16664
599	24938	16625
600	24983	16586
601	25032	16549
602	25067	16503
603	25099	16455
604	25130	16407
605	25170	16364
606	25206	16319
607	25240	16273
608	25273	16226
609	25308	16180
610	25341	16134
611	25375	16088
612	25423	16050
613	25464	16008
614	25495	15960
615	25528	15913
616	25563	15868
617	25600	15823
618	25634	15778
619	25666	15731
620	25699	15684
621	25734	15639
622	25768	15593
623	25807	15550
624	25859	15515
625	25900	15473
626	25938	15430
627	25975	15386
628	26017	15345
629	26059	15304
630	26093	15259
631	26127	15213
632	26160	15167
633	26197	15123
634	26231	15078
635	26284	15043
636	26329	15004
637	26364	14959
638	26399	14914
639	26435	14869
640	26476	14828
641	26519	14788
642	26564	14748
643	26609	14709
644	26646	14666
645	26703	14633
646	26761	14600
647	26808	14562
648	26852	14522
649	26896	14482
650	26939	14442
651	26982	14401
652	27030	14363
653	27069	14321
654	27116	14282
655	27184	14255
656	27243	14223
657	27299	14189
658	27347	14150
659	27391	14110
660	27435	14070
661	27477	14029
662	27530	13993
663	27586	13959
664	27637	13922
665	27674	13878
666	27711	13834
667	27742	13788
668	27775	13742
669	27811	13698
670	27849	13654
671	27889	13612
672	27931	13571
673	27974	13530
674	28019	13490
675	28074	13456
676	28118	13415
677	28158	13373
678	28202	13333
679	28245	13291
680	28296	13254
681	28338	13213
682	28376	13170
683	28417	13128
684	28457	13086
685	28499	13044
686	28536	13001
687	28572	12957
688	28609	12913
689	28654	12873
690	28700	12834
691	28743	12793
692	28787	12752
693	28825	12709
694	28867	12668
695	28904	12625
696	28942	12582
697	28979	12538
698	29012	12493
699	29048	12449
700	29084	12405
701	29122	12362
702	29158	12318
703	29196	12275
704	29232	12231
705	29268	12188
706	29308	12146
707	29345	12103
708	29383	12060
709	29422	12017
710	29461	11975
711	29505	11934
712	29545	11892
713	29585	11850
714	29622	11807
715	29659	11764
716	29695	11720
717	29732	11677
718	29768	11634
719	29802	11589
720	29844	11548
721	29886	11507
722	29933	11468
723	29978	11428
724	30024	11388
725	30062	11346
726	30104	11304
727	30146	11263
728	30188	11222
729	30233	11182
730	30278	11142
731	30322	11101
732	30369	11062
